stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
39.770729,0,34684,-104.9734,,,,Vehicles Travelling North,38th / Blake,1,34684,
39.76983,0,33740,-104.785452,,,,Vehicles Travelling North,40th  / Airport - Gateway Park,1,33740,
39.775841,0,34500,-104.944754,,,,Vehicles Travelling North,40th / Colorado,1,34500,
39.772741,0,34548,-104.995362,,,,Vehicles Travelling North,41st / Fox,1,34548,
39.784667,0,35362,-104.967472,,,,Vehicles Travelling North,48th & Brighton / National Western Center,1,35362,
39.804374,0,34506,-105.049081,,,,Vehicles Travelling North,60th / Sheridan - Arvada Gold Strike,1,34506,
39.806945,0,34685,-104.783907,,,,Vehicles Travelling North,61st / Pena,1,34685,
39.791993,0,34505,-105.110976,,,,Vehicles Travelling North,Arvada Ridge,1,34505,
39.769723,0,34501,-104.892912,,,,Vehicles Travelling North,Central Park,1,34501,
39.804819,0,34507,-105.022624,,,,Vehicles Travelling North,Clear Creek / Federal,1,34507,
39.826497,0,35363,-104.942292,,,,Vehicles Travelling North,Commerce City / 72nd Avenue,1,35363,
39.847913,0,34503,-104.673943,,,,Vehicles Travelling North,Denver Airport,1,34503,
39.922525,0,35367,-104.962657,,,,Vehicles Travelling North,Eastlake /124th Avenue,1,35367,
39.902677,0,35366,-104.959583,,,,Vehicles Travelling North,Northglenn / 112th Avenue,1,35366,
39.798974,0,33833,-105.078976,,,,Vehicles Travelling North,Olde Town Arvada,1,33833,
39.858851,0,35364,-104.952449,,,,Vehicles Travelling North,Original Thornton / 88th Avenue,1,35364,
39.805421,0,34508,-105.003505,,,,Vehicles Travelling North,Pecos Junction,1,34508,
39.766094,0,34502,-104.852057,,,,Vehicles Travelling North,Peoria,1,34502,
39.881986,0,35365,-104.940968,,,,Vehicles Travelling North,Thornton Crossroads / 104th Avenue,1,35365,
39.823124,0,34549,-105.027939,,,,Vehicles Travelling North,Westminster,1,34549,
39.789544,0,34504,-105.13327,,,,Vehicles Travelling North,Wheat Ridge / Ward Road,1,34504,
